example_id,text,category
tr_bd8a3a3ea9,I no longer want this can i cancel my purchase?,request_refund
tr_6ce2ca3ef0,"Will you accept my credit card, it my only one.",supported_cards_and_currencies
tr_519ae1c29b,My card won't physically work.,card_not_working
tr_42bbe45644,Why would my payment for my card show as pending?,pending_card_payment
tr_c75be6d947,Is there a certain age I need to be?,age_limit
tr_885324431e,Explain to me how to verify the top-up card.,verify_top_up
tr_5f5bfd247d,What do I need to know about topping up?,top_up_by_card_charge
tr_bdc64bf2f3,I've already sent the money out and still have not received money in my account.,balance_not_updated_after_cheque_or_cash_deposit
tr_6de50e9b77,Am I able to do top-ups with Google Pay?,apple_pay_or_google_pay
tr_c5f8375230,I want to top up my account with a cheque,top_up_by_cash_or_cheque
tr_9d6844749b,"I have checked my statements multiple times, but my refund that I requested a while back is not showing on my account. Is there a reason for this? Can I get some help getting my money back from this transaction?",Refund_not_showing_up
tr_90a13680e5,I don't understand why you want so much of my personal info.,why_verify_identity
tr_cba6f68e04,Why would I need a disposable card?,get_disposable_virtual_card
tr_b5ec3c6220,I recently deposited a cheque and cannot find the cash from it.,balance_not_updated_after_cheque_or_cash_deposit
tr_fa1b1fa3fe,Why was an extra charge added when I used my card?,card_payment_fee_charged
tr_2e130c0c10,i tried to do a transfer to an account but it didn't work,beneficiary_not_allowed
tr_c11754ef1a,I am required to make several disposable cards every day.,disposable_card_limits
tr_b172d88cd2,Why am I getting charged more for using my card?,card_payment_fee_charged
tr_09282162ed,"I only received $20, but I requested $100.",wrong_amount_of_cash_received
tr_fd2ed07d32,Why is my cash withdrawal still showing as pending?,pending_cash_withdrawal
tr_bc63856f69,"I need some help, I thought you guys accepted crypto top ups?? It won't seem to let me do it. I put money in my account and now it's gone and I didn't spend it. Where did it go??",top_up_reverted
tr_dcaf132f4d,Is my daughter eligible to open an account?,age_limit
tr_845199bba8,When do I set up my card PIN?,get_physical_card
tr_8e64eee80c,I tried updating my balance by cheque yesterday but it doesn't seem to be working. Shouldn't that be faster? Please check my account something has gone wrong there.,balance_not_updated_after_cheque_or_cash_deposit
tr_3c37988c99,What do I need for activation of my card?,activate_my_card
tr_9b0b402485,Can you tell me why my transfer is pending still?,pending_transfer
tr_474723bff3,The ATM did not give me my card back?,card_swallowed
tr_03b80a1d77,I am reluctant to use ATMs international because I don't get an accurate exchange rate,wrong_exchange_rate_for_cash_withdrawal
tr_d3c11bcc8b,I asked for cash but I did not receive all the funds,wrong_amount_of_cash_received
tr_5bb81a1dd0,I paid with my card and I was charged a fee,card_payment_fee_charged
tr_0cfa198de3,"Change of location, need to change details",edit_personal_details
tr_b1076994ef,Where do my fund come from?,verify_source_of_funds
tr_5fe7716fb1,help my money isnt showing up,balance_not_updated_after_bank_transfer
tr_cec8907bac,What happens if my card payment is cancelled?,reverted_card_payment?
tr_6c859d3234,How much do I need to pay for a transfer?,top_up_by_bank_transfer_charge
tr_25f44c3ae0,is there a reason i need to verify top up,verify_top_up
tr_53f0dd8320,Is there a problem with the top up system? My transaction hasn't gone through properly,pending_top_up
tr_e29b49f7c7,What's up with the fee for getting cash?,cash_withdrawal_charge
tr_5aa21c47df,Why can I not get cash from the ATM?,declined_cash_withdrawal
tr_527274f768,Is there a function where I can top-up automatically?,automatic_top_up
tr_9e5ce56830,Am I able to track the card that was just sent to me?,card_arrival
tr_a3d1ac46d9,Is there any reason my cash withdrawal still shows as pending?,pending_cash_withdrawal
tr_7ecbe64130,Why is my physical card not working?,card_not_working
tr_b9766c41b5,How many disposable cards can you own?,disposable_card_limits
tr_9a481d6f6f,There's an error with the rate that is charged.,card_payment_wrong_exchange_rate
tr_515abc7301,Is there a reason to why I was charged twice for a transaction?,transaction_charged_twice
tr_bb3ad93134,How long does transfer from the US take?,transfer_timing
tr_88c44d05f5,How long is a delivery to the US?,card_delivery_estimate
tr_472f788f37,Why didn't the money I transferred into my account get added to my balance?,balance_not_updated_after_bank_transfer
